"sifra";"podsifra";"skola";"ime_ravnatelja";"prezime_ravnatelja"
"17-126-503";"0-0";Graditeljsko-geodetska tehnička škola;Filip;Relja
"01-073-502";"0-0";Gimnazija Antuna Gustava Matoša;Franjo;Bedeničić
"19-518-001";"0-0";Osnovna škola Smokvica;Emil;Radovanović
"14-060-002";"0-0";Osnovna škola Svete Ane u Osijeku;Emina;Šinka
"01-073-002";"0-0";Osnovna škola Mihaela Šiloboda;Goran;Lesjak
"08-295-001";"0-0";Osnovna škola dr. Josipa Pančića Bribir;Goran;Matić
"01-073-003";"0-0";Osnovna škola Samobor;Goran Ivan;Matoš
"07-004-003";"0-0";III. osnovna škola Bjelovar;Goranka;Preskočil
"05-240-001";"0-0";Osnovna škola Antuna i Ivana Kukuljevića;Goranka;Štefanić
"13-364-001";"0-0";Osnovna škola Petar Lorini;Gordan;Dragaš
"21-114-040";"0-0";Osnovna škola Dobriše Cesarića;Gordana;Fileš
"18-068-004";"0-0";Talijanska osnovna škola - Scuola elementare italiana Bernardo Parentin Poreč - Parenzo;Ester;Zarli
"21-114-063";"0-0";Osnovna škola Josipa Račića;Franjo;Gudelj
"14-060-010";"0-0";Osnovna škola Jagode Truhelke;Franjo;Vukelić
"21-114-011";"0-0";Osnovna škola Kustošija;Gordana;Kajić
"04-034-008";"0-0";Osnovna škola Mahično;Gorana;Simić Vinski
"01-159-001";"0-0";Osnovna škola kardinal Alojzije Stepinac          ;Helena;Beketić
"13-367-001";"0-0";Osnovna škola Sv. Filip i Jakov;Gordana;Kurtov
"15-017-501";"0-0";Srednja škola Ivana Meštrovića Drniš;Hrvoje;Pekas
"06-041-002";"0-0";Osnovna škola "Vladimir Nazor" Križevci";Igor;Brkić
"01-073-004";"0-0";Osnovna škola Milana Langa;Igor;Matijašić
"17-126-018";"0-0";Osnovna škola Mertojak;Ines;Budić
"10-314-001";"0-0";Osnovna škola Voćin;Ines;Gužvić
"03-076-010";"0-0";Osnovna škola Ivana Antolčića Komarevo;Gordana;Vasić
"18-486-001";"0-0";Osnovna škola Ivana Batelića - Raša;Greis;Franković
"18-072-501";"0-0";Talijanska srednja škola - Scuola media superiore italiana Rovinj - Rovigno;Ines;Venier
"18-072-502";"0-0";Srednja škola Zvane Črnje Rovinj, Scuola media superiore "Zvane Črnja" Rovigno";Ingrid;Sau
"12-078-003";"0-0";Osnovna škola Hugo Badalić;Irena;Čugura Ćerić
"04-034-006";"0-0";Osnovna škola Dubovac;Irmelina;Sablić
"04-056-503";"0-0";Gimnazija i strukovna škola Bernardina Frankopana;Hrvoje;Magdić
"16-422-001";"0-0";Osnovna škola Matija Antun Reljković   ;Ilija;Grgić
"03-197-001";"0-0";Osnovna škola Sunja;Ilija;Potkonjak
"06-247-001";"0-0";Osnovna škola Fran Koncelak Drnje;Ivan;Pikivača
"13-107-008";"0-0";Osnovna škola Voštarnica - Zadar;Irena;Dukić
"08-290-001";"0-0";Osnovna škola Viktora Cara Emina;Iva;Erceg
"14-060-502";"0-0";Strojarska tehnička škola Osijek;Ivan;Adrić
"12-347-001";"0-0";Osnovna škola Okučani;Ivana;Mijatović
"10-089-502";"0-0";Tehnička škola Virovitica;Ivan;Kućan
"15-081-003";"0-0";Osnovna škola Jurja Šižgorića;Ivana;Rupić
"02-167-001";"0-0";Osnovna škola Bedekovčina;Ivan;Paradi
"17-126-506";"0-0";II. gimnazija;Ivanka;Kovačević
"16-088-002";"0-0";Osnovna škola Josipa Kozarca, Vinkovci;Ivan;Županić
"21-114-027";"0-0";Osnovna škola Vladimira Nazora;Ivica;Brkić
"13-003-501";"0-0";Srednja škola Biograd na Moru;Ivica;Kero
"07-264-001";"0-0";Osnovna škola Velika Pisanica;Ivana;Haić
"17-126-520";"0-0";Škola likovnih umjetnosti;Ivana;Korjenić
"17-462-001";"0-0";Osnovna škola dr. Franje Tuđmana Brela;Ivana;Ravlić
"20-525-001";"0-0";Osnovna škola Nedelišće;Ivica;Paić
